"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3402","Should Edit Speciality Impla","","2025-12-01","passed","2025-12-01","","Speciality","SpecialityTests","Should_Edit_Speciality_Impla"
"","3049","Should Consult Speciality Impla","","2025-12-01","passed","2025-12-01","","Speciality","SpecialityTests","Should_Consult_Speciality_Impla"
"","3756","Should Delete Speciality Impla","","2025-12-01","passed","2025-12-01","","Speciality","SpecialityTests","Should_Delete_Speciality_Impla"
"","3482","Should Register Speciality Endo","","2025-12-01","passed","2025-12-01","","Speciality","SpecialityTests","Should_Register_a_New_Speciality_Endo"
"","3523","Should Delete Speciality Endo","","2025-12-01","passed","2025-12-01","","Speciality","SpecialityTests","Should_Delete_Speciality_Endo"
"","3104","Should Consult Speciality Endo","","2025-12-01","passed","2025-12-01","","Speciality","SpecialityTests","Should_Consult_Speciality_Endo"
"","3399","Should Register a New Speciality Impla","","2025-12-01","passed","2025-12-01","","Speciality","SpecialityTests","Should_Register_a_New_Speciality_Impla"
"","3508","Should Edit Speciality Gen","","2025-12-01","passed","2025-12-01","","Speciality","SpecialityTests","Should_Edit_Speciality_Gen"
"","3223","Should Consult Speciality Orto","","2025-12-01","passed","2025-12-01","","Speciality","SpecialityTests","Should_Consult_Speciality_Orto"
"","3479","Should Edit Speciality Orto","","2025-12-01","passed","2025-12-01","","Speciality","SpecialityTests","Should_Edit_Speciality_Orto"
"","3590","Should Register a new Speciality Gen","","2025-12-01","passed","2025-12-01","","Speciality","SpecialityTests","Should_Register_a_New_Speciality_Gen"
"","3204","Should Consult Speciality Gen","","2025-12-01","passed","2025-12-01","","Speciality","SpecialityTests","Should_Consult_Speciality_Gen"
"","3442","Should Edit Speciality Endo","","2025-12-01","passed","2025-12-01","","Speciality","SpecialityTests","Should_Edit_Speciality_Endo"
"","6435","Should Register a New Speciality Orto","","2025-12-01","passed","2025-12-01","","Speciality","SpecialityTests","Should_Register_a_New_Speciality_Orto"
"","3746","Should_Delete_Speciality_Gen","","2025-12-01","passed","2025-12-01","","Speciality","SpecialityTests","Should_Delete_Speciality_Gen"
"","3583","Should Delete Speciality Orto","","2025-12-01","passed","2025-12-01","","Speciality","SpecialityTests","Should_Delete_Speciality_Orto"
