"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","70509","Should Edit Speciality Gen","","Sun Nov 30 19:59:52 UTC 2025","broken","Sun Nov 30 20:01:03 UTC 2025","","Speciality","SpecialityTests","Should_Edit_Speciality_Gen"
"","3801","Shouldnt Login With Incorrect Email","","Sun Nov 30 19:53:30 UTC 2025","passed","Sun Nov 30 19:53:33 UTC 2025","","Login","LoginTests","Shouldnt_Login_With_Incorrect_Email"
"","71226","Should Delete Speciality Impla","","Sun Nov 30 20:08:28 UTC 2025","broken","Sun Nov 30 20:09:39 UTC 2025","","Speciality","SpecialityTests","Should_Delete_Speciality_Impla"
"","37369","Should Contain InProgress in Arrivals","","Sun Nov 30 19:54:25 UTC 2025","broken","Sun Nov 30 19:55:02 UTC 2025","","Arrivals","ArrivalsTests","Should_Contain_InProgress_In_Arrival"
"","73657","Should Register a Patients","","Sun Nov 30 19:53:40 UTC 2025","broken","Sun Nov 30 19:54:54 UTC 2025","","Patients","PatientsTests","Should_Register_a_Patients"
"","10174","Should Consult Speciality Endo","","Sun Nov 30 20:03:24 UTC 2025","broken","Sun Nov 30 20:03:34 UTC 2025","","Speciality","SpecialityTests","Should_Consult_Speciality_Endo"
"","74978","Should Register a New Speciality Orto","","Sun Nov 30 19:54:43 UTC 2025","broken","Sun Nov 30 19:55:58 UTC 2025","","Speciality","SpecialityTests","Should_Register_a_New_Speciality_Orto"
"","71903","Should Edit Type Schedule","","Sun Nov 30 19:58:05 UTC 2025","broken","Sun Nov 30 19:59:17 UTC 2025","","TypeSchedule","TypeScheduleTests","Should_Edit_Type_Schedule"
"","38958","Should Delete a Patients","","Sun Nov 30 19:56:08 UTC 2025","broken","Sun Nov 30 19:56:47 UTC 2025","","Patients","PatientsTests","Should_Delete_a_Patients"
"","76004","Should Consult a Existing Dentist","","Sun Nov 30 19:54:43 UTC 2025","broken","Sun Nov 30 19:55:59 UTC 2025","","Dentists","DentistsTests","Should_Consult_Dentist"
"","80785","Should Create A New Availability","","Sun Nov 30 19:53:22 UTC 2025","broken","Sun Nov 30 19:54:43 UTC 2025","","Availability","AvailabilityTests","Should_Create_A_New_Availability"
"","10155","Should Consult Speciality Impla","","Sun Nov 30 20:07:07 UTC 2025","broken","Sun Nov 30 20:07:17 UTC 2025","","Speciality","SpecialityTests","Should_Consult_Speciality_Impla"
"","10863","Should Consult Speciality Orto","","Sun Nov 30 19:55:58 UTC 2025","broken","Sun Nov 30 19:56:09 UTC 2025","","Speciality","SpecialityTests","Should_Consult_Speciality_Orto"
"","3321","Shouldnt Login With EmptyFields","","Sun Nov 30 19:53:37 UTC 2025","passed","Sun Nov 30 19:53:40 UTC 2025","","Login","LoginTests","Shouldnt_Login_With_EmptyFields"
"","12041","Should Register a New Arrival","","Sun Nov 30 19:53:22 UTC 2025","passed","Sun Nov 30 19:53:34 UTC 2025","","Arrivals","ArrivalsTests","Should_Register_a_New_Arrival"
"","7381","Should Do Login With Valid Credentials","","Sun Nov 30 19:53:22 UTC 2025","passed","Sun Nov 30 19:53:29 UTC 2025","","Login","LoginTests","Should_Do_Login_With_Valid_Credentials"
"","36868","Should Contain Canceled in Arrivals","","Sun Nov 30 19:55:02 UTC 2025","broken","Sun Nov 30 19:55:39 UTC 2025","","Arrivals","ArrivalsTests","Should_Contain_Canceled_In_Arrival"
"","71955","Should Edit Dentist","","Sun Nov 30 19:55:59 UTC 2025","broken","Sun Nov 30 19:57:11 UTC 2025","","Dentists","DentistsTests","Should_Edit_Dentist"
"","71007","Should Edit Speciality Endo","","Sun Nov 30 20:03:34 UTC 2025","broken","Sun Nov 30 20:04:45 UTC 2025","","Speciality","SpecialityTests","Should_Edit_Speciality_Endo"
"","81057","Should Register a New Dentist","","Sun Nov 30 19:53:22 UTC 2025","broken","Sun Nov 30 19:54:43 UTC 2025","","Dentists","DentistsTests","Should_Register_a_New_Dentist"
"","70794","Should Register a new Speciality Gen","","Sun Nov 30 19:58:31 UTC 2025","broken","Sun Nov 30 19:59:42 UTC 2025","","Speciality","SpecialityTests","Should_Register_a_New_Speciality_Gen"
"","70631","Should Register Speciality Endo","","Sun Nov 30 20:02:13 UTC 2025","broken","Sun Nov 30 20:03:24 UTC 2025","","Speciality","SpecialityTests","Should_Register_a_New_Speciality_Endo"
"","3746","Shouldnt Login With Incorrect Password","","Sun Nov 30 19:53:33 UTC 2025","passed","Sun Nov 30 19:53:37 UTC 2025","","Login","LoginTests","Shouldnt_Login_With_Incorrect_Password"
"","71909","Should Edit Speciality Orto","","Sun Nov 30 19:56:09 UTC 2025","broken","Sun Nov 30 19:57:21 UTC 2025","","Speciality","SpecialityTests","Should_Edit_Speciality_Orto"
"","71052","Should Delete Speciality Endo","","Sun Nov 30 20:04:45 UTC 2025","broken","Sun Nov 30 20:05:56 UTC 2025","","Speciality","SpecialityTests","Should_Delete_Speciality_Endo"
"","72334","Should Consult a Type Schedule","","Sun Nov 30 19:56:52 UTC 2025","broken","Sun Nov 30 19:58:05 UTC 2025","","TypeSchedule","TypeScheduleTests","Should_Consult_a_Type_Schedule"
"","73568","Should Register a New Type Schedule","","Sun Nov 30 19:55:39 UTC 2025","broken","Sun Nov 30 19:56:52 UTC 2025","","TypeSchedule","TypeScheduleTests","Should_Register_a_New_Type_Schedule"
"","37092","Should Edit a Patients","","Sun Nov 30 19:55:31 UTC 2025","broken","Sun Nov 30 19:56:08 UTC 2025","","Patients","PatientsTests","Should_Edit_a_Patients"
"","36910","Should Contain Started in Arrivals","","Sun Nov 30 19:53:48 UTC 2025","broken","Sun Nov 30 19:54:25 UTC 2025","","Arrivals","ArrivalsTests","Should_Contain_Started_In_Arrival"
"","70925","Should Register a New Speciality Impla","","Sun Nov 30 20:05:56 UTC 2025","broken","Sun Nov 30 20:07:07 UTC 2025","","Speciality","SpecialityTests","Should_Register_a_New_Speciality_Impla"
"","36980","Should Consult a Patients","","Sun Nov 30 19:54:54 UTC 2025","broken","Sun Nov 30 19:55:31 UTC 2025","","Patients","PatientsTests","Should_Consult_a_Patients"
